"cntyvtd","romney","obama","pct_obama","pct_romney","votes_2012","trump","clinton","pct_trump","pct_clinton","votes_2016","pct_latino"
"0291096",1,5,0.833333333333333,0.166666666666667,6,3,13,0.176470588235294,0.764705882352941,17,0.9
"0291097",67,259,0.76401179941003,0.1976401179941,339,92,253,0.255555555555556,0.702777777777778,360,0.957208689927584
"0291098",75,318,0.801007556675063,0.188916876574307,397,43,325,0.108585858585859,0.820707070707071,396,0.96524064171123
"0291100",534,783,0.579570688378979,0.395262768319763,1351,488,853,0.337249481686247,0.589495507947478,1447,0.607199456644781
"0291102",195,172,0.453825857519789,0.514511873350924,379,264,210,0.526946107784431,0.419161676646707,501,0.680939226519337
"0291104",680,935,0.563253012048193,0.409638554216867,1660,634,1024,0.357787810383747,0.577878103837472,1772,0.640108646446356
"0291105",15,11,0.379310344827586,0.517241379310345,29,12,12,0.444444444444444,0.444444444444444,27,0.719298245614035
"0291107",388,548,0.558044806517312,0.395112016293279,982,519,689,0.409305993690852,0.543375394321767,1268,0.778059499661934
"0291108",1062,1085,0.493181818181818,0.482727272727273,2200,1058,1171,0.445661331086773,0.493260320134794,2374,0.470227808326787
"0291109",2,0,0,0.666666666666667,3,1,0,1,0,1,0
"0291111",1054,1401,0.558835261268448,0.420422816114878,2507,935,1617,0.340743440233236,0.589285714285714,2744,0.579944077275038
"0291115",50,47,0.465346534653465,0.495049504950495,101,58,61,0.464,0.488,125,0.649874055415617
"0291116",102,124,0.541484716157205,0.445414847161572,229,111,157,0.38013698630137,0.537671232876712,292,0.71689497716895
"0291117",40,122,0.730538922155689,0.239520958083832,167,50,113,0.29940119760479,0.676646706586826,167,0.875945537065053
"0291119",6,42,0.875,0.125,48,14,40,0.245614035087719,0.701754385964912,57,0.931750741839763
"0291120",7,39,0.847826086956522,0.152173913043478,46,4,43,0.0816326530612245,0.877551020408163,49,0.977777777777778
"0291123",106,104,0.477064220183486,0.486238532110092,218,122,134,0.455223880597015,0.5,268,0.68377358490566
"0291124",95,193,0.630718954248366,0.310457516339869,306,111,200,0.335347432024169,0.604229607250755,331,0.894425259003453
"0291125",11,28,0.717948717948718,0.282051282051282,39,8,36,0.163265306122449,0.73469387755102,49,0.785714285714286
"0291127",52,224,0.785964912280702,0.182456140350877,285,51,211,0.188191881918819,0.77859778597786,271,0.923824959481361
"0291128",30,143,0.777173913043478,0.16304347826087,184,57,175,0.2375,0.729166666666667,240,0.9392575928009
"0291129",18,45,0.703125,0.28125,64,75,146,0.324675324675325,0.632034632034632,231,0.907435508345979
"0291135",1,0,0,1,1,1,1,0.5,0.5,2,0.772727272727273
"0291136",30,62,0.659574468085106,0.319148936170213,94,47,82,0.356060606060606,0.621212121212121,132,0.76984126984127
"0291138",0,1,1,0,1,0,5,0,1,5,0.769230769230769
"0292001",19,177,0.838862559241706,0.0900473933649289,211,45,276,0.133136094674556,0.816568047337278,338,0.899016979445934
"0292002",67,426,0.828793774319066,0.130350194552529,514,77,461,0.136524822695035,0.817375886524823,564,0.955241460541814
"0292003",167,979,0.818561872909699,0.139632107023411,1196,147,1055,0.11703821656051,0.839968152866242,1256,0.962063533735889
"0292004",161,789,0.800202839756592,0.163286004056795,986,174,854,0.161559888579387,0.792943361188487,1077,0.916547175222254
"0292005",98,316,0.736596736596737,0.228438228438228,429,89,405,0.170498084291188,0.775862068965517,522,0.905714285714286
"0292006",3,10,0.833333333333333,0.25,12,2,10,0.166666666666667,0.833333333333333,12,0.914893617021277
"0292007",105,699,0.852439024390244,0.128048780487805,820,152,784,0.155260469867211,0.800817160367722,979,0.965643698127775
"0292008",74,341,0.785714285714286,0.170506912442396,434,75,379,0.159235668789809,0.804670912951168,471,0.936854646544877
"0292009",263,479,0.615681233933162,0.338046272493573,778,257,663,0.254707631318137,0.657086223984143,1009,0.50553176302641
"0292010",205,270,0.55327868852459,0.420081967213115,488,178,286,0.356,0.572,500,0.690806878306878
"0292011",129,597,0.782437745740498,0.169069462647444,763,126,653,0.153658536585366,0.796341463414634,820,0.936736356231333
"0292012",68,445,0.833333333333333,0.127340823970037,534,78,515,0.126418152350081,0.834683954619125,617,0.967333333333333
"0292013",104,428,0.77959927140255,0.189435336976321,549,117,436,0.197969543147208,0.737732656514382,591,0.915595544130248
"0292014",112,434,0.757417102966841,0.195462478184991,573,138,443,0.223300970873786,0.716828478964401,618,0.919878735383283
"0292015",63,504,0.861538461538462,0.107692307692308,585,88,587,0.123769338959212,0.825597749648383,711,0.96939519067282
"0292016",53,343,0.834549878345499,0.128953771289538,411,52,401,0.110403397027601,0.851380042462845,471,0.983021483021483
"0292017",55,332,0.836272040302267,0.138539042821159,397,58,322,0.145363408521303,0.807017543859649,399,0.975638051044084
"0292018",100,429,0.794444444444444,0.185185185185185,540,111,481,0.183168316831683,0.793729372937294,606,0.958768267223382
"0292019",79,479,0.837412587412587,0.138111888111888,572,98,508,0.152173913043478,0.788819875776398,644,0.952408759124088
"0292020",120,796,0.843220338983051,0.127118644067797,944,103,806,0.106514994829369,0.833505687693899,967,0.8667536339918
"0292021",161,724,0.781857451403888,0.173866090712743,926,159,884,0.146139705882353,0.8125,1088,0.974201930215293
"0292022",86,436,0.785585585585586,0.154954954954955,555,102,484,0.164516129032258,0.780645161290323,620,0.966709760827408
"0292023",272,964,0.756671899529042,0.213500784929356,1274,283,1097,0.191604603926879,0.74272173324306,1477,0.874277744570632
"0292024",185,512,0.699453551912568,0.252732240437158,732,209,599,0.243873978996499,0.698949824970828,857,0.881052141527002
"0292025",257,821,0.730427046263345,0.22864768683274,1124,267,907,0.215322580645161,0.731451612903226,1240,0.897765741367637
"0292026",419,695,0.605928509154316,0.365300784655623,1147,365,770,0.305695142378559,0.644891122278057,1194,0.724811610382361
"0292027",254,438,0.614305750350631,0.356241234221599,713,247,511,0.313451776649746,0.648477157360406,788,0.751072961373391
"0292028",400,808,0.644852354349561,0.319233838786911,1253,376,907,0.279761904761905,0.67485119047619,1344,0.71509009009009
"0292029",89,373,0.797008547008547,0.19017094017094,468,80,401,0.15748031496063,0.789370078740158,508,0.918184532696327
"0292030",58,473,0.86,0.105454545454545,550,86,504,0.140522875816993,0.823529411764706,612,0.967105263157895
"0292031",79,426,0.817658349328215,0.151631477927063,521,85,536,0.13302034428795,0.838810641627543,639,0.97129450731438
"0292032",43,167,0.787735849056604,0.202830188679245,212,44,182,0.184100418410042,0.761506276150628,239,0.962101636520241
"0292033",39,204,0.812749003984064,0.155378486055777,251,41,249,0.134426229508197,0.816393442622951,305,0.647717484926787
"0292034",39,240,0.810810810810811,0.131756756756757,296,49,257,0.150769230769231,0.790769230769231,325,0.878926327812678
"0292035",170,607,0.743872549019608,0.208333333333333,816,157,652,0.180459770114943,0.749425287356322,870,0.539168017287952
"0292036",387,649,0.610536218250235,0.364063969896519,1063,313,734,0.280717488789238,0.658295964125561,1115,0.360874200426439
"0292037",523,380,0.411700975081257,0.566630552546046,923,440,466,0.453141091658084,0.479917610710608,971,0.468545546049321
"0292038",264,352,0.555205047318612,0.416403785488959,634,252,368,0.378947368421053,0.553383458646617,665,0.56629392971246
"0292039",131,467,0.743630573248408,0.20859872611465,628,135,546,0.1875,0.758333333333333,720,0.847102342786683
"0292040",325,771,0.677504393673111,0.285588752196837,1138,318,866,0.250788643533123,0.682965299684543,1268,0.825396825396825
"0292041",307,912,0.723809523809524,0.243650793650794,1260,311,991,0.226181818181818,0.720727272727273,1375,0.906476449275362
"0292042",125,560,0.793201133144476,0.177053824362606,706,151,597,0.19309462915601,0.763427109974425,782,0.91489988221437
"0292043",105,500,0.802568218298555,0.168539325842697,623,134,565,0.186111111111111,0.784722222222222,720,0.924121405750799
"0292044",136,629,0.801273885350319,0.173248407643312,785,172,723,0.184351554126474,0.77491961414791,933,0.921487603305785
"0292045",303,781,0.698568872987478,0.271019677996422,1118,258,952,0.20203602192639,0.745497259201253,1277,0.781090909090909
"0292046",315,878,0.708064516129032,0.254032258064516,1240,311,919,0.239784117193524,0.708558211256746,1297,0.836255375454846
"0292047",234,643,0.71523915461624,0.260289210233593,899,252,690,0.256619144602851,0.702647657841141,982,0.824899598393574
"0292048",132,448,0.747913188647746,0.220367278797997,599,147,555,0.19758064516129,0.745967741935484,744,0.919055201698514
"0292049",348,843,0.683144246353322,0.282009724473258,1234,372,988,0.258512856150104,0.686587908269632,1439,0.858116591928251
"0292050",321,622,0.6359918200409,0.328220858895706,978,274,628,0.285119667013528,0.653485952133195,961,0.761412862379207
"0292051",75,156,0.641975308641975,0.308641975308642,243,61,221,0.198051948051948,0.717532467532468,308,0.684027777777778
"0292052",75,258,0.737142857142857,0.214285714285714,350,83,337,0.187358916478555,0.760722347629797,443,0.931268151016457
"0292053",100,351,0.746808510638298,0.212765957446809,470,95,436,0.172101449275362,0.789855072463768,552,0.875912408759124
"0292054",228,777,0.752906976744186,0.22093023255814,1032,200,878,0.174520069808028,0.766143106457243,1146,0.687254901960784
"0292055",321,538,0.599109131403118,0.357461024498886,898,255,834,0.218321917808219,0.714041095890411,1168,0.182833217027216
"0292056",153,478,0.737654320987654,0.236111111111111,648,180,494,0.253521126760563,0.695774647887324,710,0.865758754863813
"0292057",204,631,0.717861205915813,0.232081911262799,879,194,742,0.194194194194194,0.742742742742743,999,0.924656169025314
"0292058",252,640,0.699453551912568,0.275409836065574,915,249,749,0.236692015209125,0.711977186311787,1052,0.893868450390189
"0292059",243,632,0.689203925845147,0.264994547437296,917,266,745,0.248598130841122,0.696261682242991,1070,0.883928571428571
"0292060",175,442,0.684210526315789,0.270897832817337,646,182,509,0.249315068493151,0.697260273972603,730,0.825723248518648
"0292061",239,299,0.547619047619048,0.437728937728938,546,219,356,0.3504,0.5696,625,0.484012539184953
"0292062",250,370,0.584518167456556,0.394944707740916,633,220,422,0.324963072378139,0.623338257016248,677,0.758816837315131
"0292063",592,266,0.302961275626424,0.674259681093394,878,668,378,0.599640933572711,0.339317773788151,1114,0.356401384083045
"0292064",456,688,0.578151260504202,0.383193277310924,1190,427,779,0.330495356037152,0.602941176470588,1292,0.733555157409777
"0292066",1193,1006,0.451323463436519,0.535217586361597,2229,1136,1153,0.462729124236253,0.469653767820774,2455,0.458018304814962
"0292067",33,110,0.728476821192053,0.218543046357616,151,30,129,0.174418604651163,0.75,172,0.820224719101124
"0292068",1136,1161,0.490701606086221,0.480135249366019,2366,1073,1227,0.434941224158897,0.497365220916092,2467,0.536141445657826
"0292069",436,710,0.604770017035775,0.371379897785349,1174,455,865,0.323843416370107,0.615658362989324,1405,0.697715988083416
"0292070",92,639,0.848605577689243,0.122177954847278,753,85,730,0.0994152046783626,0.853801169590643,855,0.966206896551724
"0292071",39,242,0.837370242214533,0.134948096885813,289,43,250,0.140065146579805,0.814332247557003,307,0.977341389728097
"0292072",756,874,0.521479713603819,0.451073985680191,1676,716,983,0.382478632478632,0.525106837606838,1872,0.590836969456565
"0292073",193,366,0.635416666666667,0.335069444444444,576,182,399,0.292604501607717,0.641479099678457,622,0.811542991755006
"0292074",67,285,0.793871866295265,0.186629526462396,359,74,337,0.177033492822967,0.80622009569378,418,0.971283783783784
"0292075",15,116,0.852941176470588,0.110294117647059,136,18,127,0.119205298013245,0.841059602649007,151,0.978433598183882
"0292076",642,608,0.473520249221184,0.5,1284,597,715,0.420422535211268,0.503521126760563,1420,0.52873876327976
"0292077",636,693,0.511816838995569,0.469719350073855,1354,559,732,0.403028118240807,0.527757750540735,1387,0.547846889952153
"0292078",413,748,0.62751677852349,0.346476510067114,1192,441,779,0.340015420200463,0.600616808018504,1297,0.734371666311073
"0292079",18,188,0.886792452830189,0.0849056603773585,212,23,207,0.0946502057613169,0.851851851851852,243,0.952089136490251
"0292080",128,273,0.661016949152542,0.309927360774818,413,139,293,0.301518438177874,0.635574837310195,461,0.83745963401507
"0292081",129,252,0.644501278772379,0.329923273657289,391,138,276,0.309417040358744,0.618834080717489,446,0.75609756097561
"0292082",231,413,0.617339312406577,0.345291479820628,669,213,460,0.294605809128631,0.636237897648686,723,0.835965641451926
"0292083",118,266,0.665,0.295,400,89,307,0.206976744186047,0.713953488372093,430,0.755102040816326
"0292084",1332,832,0.376130198915009,0.602169981916817,2212,1170,941,0.514738231412231,0.413990321161461,2273,0.401293776488958
"0292085",178,455,0.7,0.273846153846154,650,177,523,0.238866396761134,0.705802968960864,741,0.853125
"0292086",867,893,0.495560488346282,0.481132075471698,1802,790,1013,0.40326697294538,0.517100561510975,1959,0.523641642472003
"0292087",569,495,0.454128440366972,0.522018348623853,1090,507,550,0.442794759825328,0.480349344978166,1145,0.507264425072644
"0292088",855,1087,0.549267306720566,0.432036382011117,1979,779,1219,0.361652739090065,0.565923862581244,2154,0.630617283950617
"0292089",31,148,0.795698924731183,0.166666666666667,186,36,165,0.172248803827751,0.789473684210526,209,0.97196261682243
"0292090",223,456,0.647727272727273,0.316761363636364,704,254,637,0.268783068783069,0.674074074074074,945,0.638361045130641
"0292091",428,728,0.610226320201174,0.358759430008382,1193,397,960,0.265729585006693,0.642570281124498,1494,0.510910163160999
"0292092",98,127,0.540425531914894,0.417021276595745,235,93,141,0.36328125,0.55078125,256,0.619477911646586
"0292093",169,195,0.525606469002695,0.455525606469003,371,221,304,0.388400702987698,0.53427065026362,569,0.571601208459214
